playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
account.ddff43ab4b0441d3812395e9d1107c81,1,0,1,99.99999,byplayer,0,1,62,0,0,0,0,0,0,0,0,WheanorsMcQueen,0,0,370.136475,0,0,0,490.636,0,632.672363,4,27,0,0
account.94bc62fc88ec49c7bc22625c7e9950b8,0,0,0,0,byplayer,0,0,64,0,0,0,0,0,0,0,0,Expunged,0,0,0,0,0,0,338.178,0,300.470276,3,28,0,0
account.009b232dfbc0415c88f20b624cf77e82,1,0,1,63.1999855,byplayer,0,2,63,0,0,0,0,0,0,0,0,Isatoner,0,0,0,0,0,0,486.332,0,472.289948,4,28,0,0
account.3136993128cb429ebf2475a53b8ccaf0,0,0,0,0,byplayer,0,0,87,0,0,0,0,0,0,0,0,CptThundertoe,0,0,0,0,0,0,153.019,0,65.98691,2,43,0,0
account.d22c463df0dd47b58aa8246060442321,1,0,0,100,byplayer,0,0,88,0,0,0,0,0,0,0,0,CptJecht,0,0,0,0,0,0,153.014,0,117.108292,1,43,0,0
account.30dc7b38d48d45abaffeabbfeb1dd4dd,0,0,0,0,byplayer,0,0,72,0,0,0,0,0,0,0,0,Uncle-CoCo,0,1,0,0,0,0,281.27,0,498.257568,1,33,0,0
account.ce83667e597341248d533313cd368bd8,0,0,0,96.75,byplayer,0,1,71,0,0,0,0,0,0,0,0,Mo_Lang_wang,0,0,0,0,0,0,281.275,0,460.30603,3,33,0,0
account.e7b597f7852a4458b8e0635ef3b4b3c2,1,1,4,168.622925,byplayer,0,9,27,0,0,1,1,0,0,137.716492,0,jDIZLsummerSIZL,0,0,0,0,0,0,1036.423,0,1652.46558,6,12,0,0
account.dc5657a709334ac9b686e819cd647084,0,0,0,215.869766,byplayer,0,1,51,0,0,0,0,0,0,0,0,AoH-WitchKing,0,0,0,0,0,0,756.891,0,1006.59796,3,19,0,0
account.abc58417507a435c8c2822570bcd80e7,0,0,6,90.075,byplayer,0,3,42,0,0,0,0,0,0,0,0,DoublePPAN,0,0,0,0,0,0,1394.613,0,2967.285,5,3,0,0
account.fcb36202ff3342b284dc48f1074555dd,0,0,2,0,byplayer,0,1,43,0,0,0,0,0,0,0,0,MahSeZe,0,0,0,0,0,0,1262.14,0,3019.385,4,3,0,0
account.874dc5d60b334166b524d226679c3c0b,2,0,3,241.460022,byplayer,1,1,11,0,0,2,3,0,0,39.81864,0,BABAWO,0,1,0,0,0,0,1027.891,0,3224.99146,4,13,0,0
account.1240213756bf464b93c34994572a04bb,1,1,2,340.610016,byplayer,0,1,28,0,0,1,1,0,0,22.5521469,0,XY_XelftXDD,0,0,0,0,0,0,1027.887,0,2876.09058,8,13,0,0
account.3524769cc3954dcd8d4241610a2c47e3,0,0,2,120.184555,byplayer,0,1,33,0,0,1,1,0,0,18.8175049,0,1_Rich90,0,0,0,0,0,0,811.963,0,1931.58716,10,17,0,0
account.2424c41b4725426e90de518d5b003cc2,2,0,0,210,byplayer,0,0,16,0,0,2,2,0,0,27.1040363,0,JOHNWAYNE3,0,0,0,0,16.3023434,0,726.684,0,1533.45422,5,20,0,0
account.e789641f673e49a78a37d47eb561b1b0,1,0,0,260.51,byplayer,0,1,83,0,0,0,0,0,0,0,0,nideyedieba,0,0,0,0,0,0,194.657,0,99.34316,3,40,0,0
account.4aa9615e29f348b3bc0a0d0a41a74353,1,0,1,35.79,byplayer,0,1,82,0,0,0,0,0,0,0,0,AlexBigDaddddy,0,0,0,0,0,0,194.663,0,145.4607,1,40,0,0
account.db08b5d86051496683fc6fea1d3fd0b1,1,0,4,226.334244,alive,0,2,25,0,0,1,1,0,0,41.3197479,0,TTV_Bellson,0,0,5558.27,0,213.219711,0,1839.569,0,3268.089,5,1,0,0
account.1bfb9bfcaf4a413ab0c2d21cf17c4a91,1,1,1,112.2977,alive,0,0,24,0,0,1,1,0,0,147.785736,0,RakenGV,0,0,6338.98,0,202.307327,0,1839.569,0,3055.49365,4,1,0,0
account.92ebf5cbc83a42599125391f43532dde,0,0,0,0,byplayer,0,0,90,0,0,0,0,0,0,0,0,Syracuse89,0,0,0,0,0,0,165.097,0,94.5049438,3,45,0,0
account.a47d49f6e65842708b3280c489dd7377,0,0,0,75.7875,byplayer,0,0,91,0,0,0,0,0,0,0,0,RedWolf5,0,0,0,0,0,0,165.091,0,144.289566,2,45,0,0
account.e6503ead7d7d43aeb77f7e63bf0d95c5,1,0,0,152.730011,byplayer,0,0,55,0,0,0,0,0,0,0,0,Devastar,0,1,0,0,0,0,872.311,0,2159.21924,6,21,0,0
account.1de0d30e435744c987c381ae0ea581e4,1,0,1,317.257324,byplayer,0,2,16,0,0,2,2,0,0,14.4482594,0,ccsam,0,0,0,0,0,0,872.306,0,1967.92859,2,21,0,0
