,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,matchDuration,matchID,matchType,groupId,numGroups,maxPlace,winPlacePerc
0,0,0,0,422.635,alive,0,0,1,0,0,1,1,0,0,12.0088778,0,LUNAIRIS,account.2f8653a3115d41a89ddfae33c05b69eb,0,0,0,0,0,0,581.392,0,0,7,1,0,0,581,e6548ade-a5d0-42bf-8e2c-fbc5929d7f81,match,9f9205fc-ff2a-44da-81c7-0c1b2c0de3d8,2,2,0.5
0,0,0,3,0.0,byplayer,0,12,3,0,0,0,0,0,0,0.0,0,complex02,account.bd5d4f47d5c04f25bf8d2f70d248acb2,0,0,0,0,0,0,581.375,0,0,5,2,0,0,581,e6548ade-a5d0-42bf-8e2c-fbc5929d7f81,match,25e64e4f-883f-481d-9289-ace617512594,2,2,0.0
0,1,0,9,89.1068,byplayer,0,7,53,0,0,0,0,0,0,0.0,0,TF_GongMian,account.210b74d6b27443abbb7312c175daab6a,0,0,5451.888,0,0,0,1246.492,1,642.0093,7,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,0,3,0.0,byplayer,0,0,56,0,0,0,0,0,0,0.0,0,TF_Tys,account.01931423e7ab4ccdbfa5f669dd1ed9ed,0,0,3088.211,0,0,0,595.296,0,684.7871,3,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,1,5,101.733032,byplayer,0,3,54,0,0,0,0,0,0,0.0,0,TF_9FF_,account.df304df7a29d42f38e0aa2f8a64336cf,0,1,3243.89136,0,0,0,1232.848,0,1116.65833,4,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,0,0,0.0,byplayer,0,0,55,0,0,0,0,0,0,0.0,0,TF_Tiger,account.34aec1ff3daf4a10a647157b7ac84b3b,0,0,3504.165,0,0,0,611.67,0,857.071167,5,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,0,6,154.174,byplayer,0,1,64,0,0,0,0,0,0,0.0,0,DLG_ALI,account.159b9f6f99bf45b8b239f4742bb45539,0,0,988.887756,0,0,0,1134.079,0,2318.98682,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,2,1,4,585.2755,byplayer,0,9,63,0,0,0,0,0,0,0.0,0,DLG_Shmily,account.7aab2f8a9a454358930318e51cc91808,0,0,1035.2782,0,0,0,1134.083,0,2215.639,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,0,0,2,0.0,byplayer,0,0,65,0,0,0,0,0,0,0.0,0,DLG_TGtangguo,account.552d6b819e0f4dfaa0b33bd2aa56da3e,0,0,662.971558,0,0,0,702.812,0,1496.60754,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,0,0,1,0.0,byplayer,0,0,66,0,0,0,0,0,0,0.0,0,DLG_theMu,account.5047b3f78cf84c2fa8ad788343849969,0,0,1480.729,0,0,0,441.571,0,444.745117,3,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,1,0,0,17.4400043,byplayer,0,0,30,0,0,1,1,0,0,10.5712852,0,Vc-TKzhun,account.5f876572642d40edb7b4a77bbdac0d37,0,1,1999.80688,0,0,0,580.367,0,587.4657,7,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
0,0,1,0,82.56,byplayer,0,0,73,0,0,0,0,0,0,0.0,0,Vc-DouM,account.e65ee81611d944fca925301ab347f7da,0,0,2697.75244,0,0,0,573.825,0,519.9905,4,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
0,0,0,1,64.0337143,byplayer,0,1,71,0,0,0,0,0,0,0.0,0,Vc-Tide,account.0aeb4138b836480399b303a2f3ba724b,0,0,2952.29126,0,0,0,794.571,0,632.707458,3,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
0,0,0,0,0.0,byplayer,0,0,72,0,0,0,0,0,0,0.0,0,Vc-Summer,account.738e200bc35f4e4d9f92675912a550bc,0,0,2554.245,0,0,0,576.141,0,410.672882,7,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
0,2,0,4,568.615967,byplayer,1,0,4,0,0,2,3,0,0,45.2309227,0,RNG_Emperor,account.aff4bb00f588486b8c66231e891f6a9e,0,0,2200.59082,0,0,0,1590.515,0,2041.89392,7,2,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,b9a2d7e9-fea5-4a46-b715-5766e5cdc87a,16,16,0.875
0,3,1,3,493.6788,byplayer,0,5,6,0,0,1,3,0,0,271.034637,0,RNG_shuaishuai,account.d3817e44977245ed96e007069fd26911,0,0,1515.121,0,0,0,1420.14,0,2332.57764,5,2,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,b9a2d7e9-fea5-4a46-b715-5766e5cdc87a,16,16,0.875
0,2,1,3,331.2283,byplayer,0,0,5,0,0,1,3,0,0,302.967957,0,RNG_XDD_,account.80245a4479cc44cdab8796e4f4d3561e,0,0,708.990051,0,0,0,1443.954,0,1442.21863,5,2,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,b9a2d7e9-fea5-4a46-b715-5766e5cdc87a,16,16,0.875
0,3,3,2,404.3824,byplayer,0,2,44,0,0,0,0,0,0,0.0,0,RNG_JiyunX,account.c009a29916534708a9970b9cc733f729,0,0,1721.84717,0,0,0,1536.574,0,2253.15967,5,2,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,b9a2d7e9-fea5-4a46-b715-5766e5cdc87a,16,16,0.875
0,0,0,3,0.0,byplayer,0,1,58,0,0,0,0,0,0,0.0,0,VTOP-ALONEKK,account.99d2b22c3c624db7a636a155c2217598,0,0,5773.121,0,0,0,1189.726,0,1067.07141,4,10,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,72dfbe8e-f69b-4a27-894c-9994b307ae55,16,16,0.375
0,1,0,5,148.0095,byplayer,1,3,26,0,0,1,1,0,0,22.3886662,0,VTOP-zHAnBo,account.8f5e022322784be79a44d86b57beed12,0,0,6799.52637,0,0,0,1181.691,0,1019.36505,4,10,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,72dfbe8e-f69b-4a27-894c-9994b307ae55,16,16,0.375
0,1,0,6,66.46767,byplayer,0,2,25,0,0,1,1,0,0,3.90426946,0,VTOP-Soldier,account.2705e0182f3642868df57ac2f596f8eb,0,0,5231.439,0,0,0,1189.731,0,1191.46057,4,10,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,72dfbe8e-f69b-4a27-894c-9994b307ae55,16,16,0.375
0,1,1,3,149.1126,byplayer,0,0,59,0,0,0,0,0,0,0.0,0,VTOP-world_,account.856d9c4a8c394284bfe037c6507e0edc,0,0,5950.351,0,0,0,1167.72,0,1286.0282,5,10,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,72dfbe8e-f69b-4a27-894c-9994b307ae55,16,16,0.375
0,2,0,0,196.7081,byplayer,0,0,18,0,0,1,1,0,0,5.333512,0,XQ_Yuren,account.d078060628244a5894d88028796649a0,0,0,4964.00439,0,0,0,553.541,0,575.895,4,1,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,da370cb6-1ac7-4b5a-9a51-2e80ee1499d5,16,16,0.9375
0,4,4,6,611.8612,byplayer,0,1,3,0,0,1,3,0,0,214.412033,0,XQ_XiaoDu,account.ad5a18b10f7c404b9cd2355c58bfd7e6,0,0,5743.1543,0,0,0,1577.959,1,2606.76245,4,1,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,da370cb6-1ac7-4b5a-9a51-2e80ee1499d5,16,16,0.9375
0,2,5,8,512.787231,alive,2,4,2,0,0,1,5,0,0,316.766357,0,XQ_XiamuZZ,account.39e7fd81498542bf862f46c431c70478,0,0,5061.661,0,0,0,1590.548,3,2087.04517,8,1,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,da370cb6-1ac7-4b5a-9a51-2e80ee1499d5,16,16,0.9375
0,5,1,7,655.494568,alive,2,4,1,0,0,1,7,0,0,345.6583,0,XQ_CobraDD,account.e675e93c6a934fe0803f1569b2fe72b5,0,1,5064.97461,0,0,0,1590.548,0,2606.29077,5,1,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,da370cb6-1ac7-4b5a-9a51-2e80ee1499d5,16,16,0.9375
