DBNOs,assists,boosts,damageDealt,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPointsDelta,matchDuration,winPlacePerc,deathType_alive,deathType_byplayer,deathType_logout,deathType_suicide
0.0,0.0,0.0,201.566788,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.52148,0.0,0.0,0.0,1234.4489999999998,0.0,2025.5601800000002,5.0,0.0,0.0,1986.0,0.21052631578947367,0.0,1.0,0.0,0.0
1.0333333333333334,0.5,2.1333333333333333,178.665480156,0.13333333333333333,3.6333333333333333,33.766666666666666,0.0,0.0,0.6666666666666666,1.0333333333333334,0.0,0.0,53.04294088833334,0.0,0.0,0.23333333333333334,4602.352865,0.0,2.031668553333333,0.03333333333333333,1491.3643333333332,0.1,1823.7192003333334,4.666666666666667,0.0,0.0,2050.9666666666667,0.5,0.06666666666666667,0.9,0.0,0.03333333333333333
0.7777777777777778,0.3333333333333333,2.5925925925925926,157.11848596296295,0.07407407407407407,1.6296296296296295,46.25925925925926,0.0,0.0,0.4074074074074074,0.6296296296296297,0.0,0.0,43.62376787037037,0.0,0.0,0.18518518518518517,1266.3179824444446,0.0,0.0,0.0,921.4222222222223,0.14814814814814814,1158.2889199629628,4.0,0.0,0.0,1612.5185185185185,0.3524691358024692,0.07407407407407407,0.9259259259259259,0.0,0.0
1.125,0.375,3.125,197.64845724999998,0.25,3.125,36.5,0.0,0.0,0.625,0.75,0.0,0.0,12.870901987500002,0.0,0.0,0.125,2690.351278,0.0,0.0,0.0,1129.02025,0.0,1352.91938125,4.75,0.0,0.0,1687.625,0.4453125,0.0,1.0,0.0,0.0
0.8333333333333334,0.8,2.933333333333333,191.58106893000001,0.16666666666666666,4.766666666666667,42.333333333333336,0.0,0.0,0.4666666666666667,0.8,0.0,0.0,41.30783942000001,0.0,0.0,0.2,4334.217573666666,0.0,2.429616,0.0,1446.7202666666665,0.1,1716.5971762666663,4.433333333333334,0.0,0.0,2066.1,0.49166666666666664,0.13333333333333333,0.8666666666666667,0.0,0.0
1.588235294117647,0.8235294117647058,3.8823529411764706,252.1265505117647,0.35294117647058826,3.6470588235294117,36.1764705882353,0.0,0.0,0.5882352941176471,1.588235294117647,0.0,0.0,87.20581855882351,0.0,0.0,0.23529411764705882,4237.562106764706,0.058823529411764705,0.0,0.0,1469.2191176470587,0.0,2310.7618641176473,5.411764705882353,0.0,0.0,1974.764705882353,0.5845588235294118,0.23529411764705882,0.7647058823529411,0.0,0.0
1.6,0.52,2.52,268.76721435999997,0.28,3.0,33.68,0.0,0.0,0.84,1.68,0.0,0.0,108.67184996,0.0,0.0,0.12,1527.6776773999995,0.0,0.0,0.0,1025.7964,0.12,1718.9922435720002,4.4,0.0,0.0,1607.88,0.52,0.16,0.84,0.0,0.0
0.8333333333333334,0.7083333333333334,1.625,151.91173010416665,0.0,1.625,40.541666666666664,0.0,0.0,0.5833333333333334,0.7916666666666666,0.0,0.0,58.44894022916666,0.0,0.0,0.08333333333333333,1649.02642675,0.0,0.0,0.0,912.2867499999999,0.0,1693.0056969583331,4.125,0.0,0.0,1638.0,0.38710171568627455,0.0,1.0,0.0,0.0
0.9411764705882353,0.6470588235294118,2.411764705882353,286.5153651588235,0.23529411764705882,3.764705882352941,52.8235294117647,0.0,0.0,0.4117647058823529,0.8235294117647058,0.0,0.0,45.46846541764706,0.0,0.0,0.47058823529411764,5253.965237647058,0.0,23.002970588235293,0.058823529411764705,1430.654294117647,0.11764705882352941,1638.8086429999998,3.9411764705882355,0.0,0.0,1974.764705882353,0.41544117647058826,0.0,0.9411764705882353,0.0,0.058823529411764705
1.7058823529411764,0.6470588235294118,2.9411764705882355,443.3113377529412,0.11764705882352941,3.0,31.705882352941178,0.0,0.0,0.8823529411764706,1.411764705882353,0.0,0.0,104.50280849294117,0.0,0.0,0.29411764705882354,4299.818573529412,0.0,0.0,0.0,1544.0144705882358,0.11764705882352941,2096.190012235294,5.176470588235294,0.0,0.0,1974.764705882353,0.4963235294117647,0.058823529411764705,0.9411764705882353,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.843,0.0,342.00787145,1.0,0.0,0.0,1350.5,0.23713235294117646,0.0,1.0,0.0,0.0
1.0,0.7058823529411765,2.2941176470588234,225.07516744117652,0.11764705882352941,3.3529411764705883,44.588235294117645,0.0,0.0,0.47058823529411764,0.8823529411764706,0.0,0.0,60.102847941176464,0.0,0.0,0.35294117647058826,3928.2236382352935,0.0,0.0,0.0,1471.1714705882353,0.29411764705882354,1721.3871738235298,4.117647058823529,0.0,0.0,1974.764705882353,0.4411764705882353,0.11764705882352941,0.8823529411764706,0.0,0.0
7.0,2.0,4.0,693.530334,1.0,5.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,153.617615,0.0,0.0,1.0,5108.5473600000005,0.0,0.0,0.0,1868.655,0.0,1392.44409,7.0,0.0,0.0,1986.0,0.631578947368421,0.0,1.0,0.0,0.0
