DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,matchDuration,matchID,matchType,groupId,numGroups,maxPlace,winPlacePerc
0,0,0,422.635,alive,0,0,1,0,0,1,1,0,0,12.0088778,0,LUNAIRIS,account.2f8653a3115d41a89ddfae33c05b69eb,0,0,0.0,0,0.0,0,581.3919999999999,0,0.0,7,1,0,0,581,e6548ade-a5d0-42bf-8e2c-fbc5929d7f81,match,9f9205fc-ff2a-44da-81c7-0c1b2c0de3d8,2,2,0.5
0,0,3,0.0,byplayer,0,12,3,0,0,0,0,0,0,0.0,0,complex02,account.bd5d4f47d5c04f25bf8d2f70d248acb2,0,0,0.0,0,0.0,0,581.375,0,0.0,5,2,0,0,581,e6548ade-a5d0-42bf-8e2c-fbc5929d7f81,match,25e64e4f-883f-481d-9289-ace617512594,2,2,0.0
1,0,9,89.1068,byplayer,0,7,53,0,0,0,0,0,0,0.0,0,TF_GongMian,account.210b74d6b27443abbb7312c175daab6a,0,0,5451.888000000001,0,0.0,0,1246.492,1,642.0093,7,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,3,0.0,byplayer,0,0,56,0,0,0,0,0,0,0.0,0,TF_Tys,account.01931423e7ab4ccdbfa5f669dd1ed9ed,0,0,3088.211,0,0.0,0,595.2959999999999,0,684.7871,3,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,1,5,101.733032,byplayer,0,3,54,0,0,0,0,0,0,0.0,0,TF_9FF_,account.df304df7a29d42f38e0aa2f8a64336cf,0,1,3243.89136,0,0.0,0,1232.848,0,1116.65833,4,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,0,0.0,byplayer,0,0,55,0,0,0,0,0,0,0.0,0,TF_Tiger,account.34aec1ff3daf4a10a647157b7ac84b3b,0,0,3504.165,0,0.0,0,611.67,0,857.071167,5,8,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,1e76b193-314d-4ed8-83df-a9687dc1c07d,16,16,0.5
0,0,6,154.174,byplayer,0,1,64,0,0,0,0,0,0,0.0,0,DLG_ALI,account.159b9f6f99bf45b8b239f4742bb45539,0,0,988.8877560000001,0,0.0,0,1134.079,0,2318.98682,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
2,1,4,585.2755,byplayer,0,9,63,0,0,0,0,0,0,0.0,0,DLG_Shmily,account.7aab2f8a9a454358930318e51cc91808,0,0,1035.2782,0,0.0,0,1134.083,0,2215.639,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,0,2,0.0,logout,0,0,65,0,0,0,0,0,0,0.0,0,DLG_TGtangguo,account.552d6b819e0f4dfaa0b33bd2aa56da3e,0,0,662.971558,0,0.0,0,702.812,0,1496.60754,4,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
0,0,1,0.0,byplayer,0,0,66,0,0,0,0,0,0,0.0,0,DLG_theMu,account.5047b3f78cf84c2fa8ad788343849969,0,0,1480.729,0,0.0,0,441.57099999999997,0,444.745117,3,13,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,4a9b7211-cd05-4dbf-bb5f-929665ff2b6a,16,16,0.1875
1,0,0,17.440004300000002,byplayer,0,0,30,0,0,1,1,0,0,10.5712852,0,Vc-TKzhun,account.5f876572642d40edb7b4a77bbdac0d37,0,1,1999.80688,0,0.0,0,580.367,0,587.4657,7,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
0,1,0,82.56,byplayer,0,0,73,0,0,0,0,0,0,0.0,0,Vc-DouM,account.e65ee81611d944fca925301ab347f7da,0,0,2697.7524399999998,0,0.0,0,573.825,0,519.9905,4,15,0,0,1590,fe091799-3b90-495a-a355-b856053deaed,match,270a71d2-4191-4878-ae68-3257b344b339,16,16,0.0625
